Title,Artist,Nationality,Gender,Medium,Dimensions,CreditLine,Classification,DateAcquired,URL,Height (cm),Width (cm)
Rendez Vous or Miss Angna Enters,John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Miss Enters in Rendezvous,John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Kraushaar's,John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Twenty-Fifth Anniversary (Dolly and John Sloan),John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
The Indian Detour,John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Knees and Aborigines,John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
The Lafayette,John Sloan,(American),(Male),Etching,"plate: 5 x 6 7/8"" (12.7 x 17.5 cm); sheet: 9 7/16 x 12 5/8"" (24 x 32 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76618,12.7,17.5
Odalisque or Enters,John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Nude Reading,John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
"14th Street, The Wigwam",John Sloan,(American),(Male),Etching,"plate: 9 3/4 x 6 7/8"" (24.7 x 17.5 cm); sheet: 18 3/16 x 12 1/2"" (46.2 x 31.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,24.7,17.5
Frankie and Johnnie from Him,John Sloan,(American),(Male),Etching,"plate: 4 7/8 x 7 15/16"" (12.4 x 20.2 cm); sheet (irreg.): 10 x 12 7/16"" (25.4 x 31.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,12.4,20.2
"Miss Angna Enters, Antique a la Francaise",John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
"Up the Line, Miss?",John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
"Angna Enters in ""Pavauna""",John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Nude on the Stairs,John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Salesmanship,John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
The Green Hour - Angna Enters,John Sloan,(American),(Male),Etching,"plate: 4 13/16 x 3 7/8"" (12.3 x 9.8 cm); sheet: 12 3/4 x 9 11/16"" (32.4 x 24.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,12.3,9.8
Half Nude on Elbow,John Sloan,(American),(Male),Etching and engraving,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Crouching Nude and Press,John Sloan,(American),(Male),Etching,"Plate 6 7/8 x 5 7/16"" (17.5 x 13.9 cm) Sheet 12 1/2 x 9 1/2"" (31.8 x 24.0 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,17.5,13.9
Nude with Cigarette,John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Nude on Draped Couch (Nude on Draped Chair),John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Nude by Bookcase,John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Long Prone Nude,John Sloan,(American),(Male),Etching and engraving,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
"Robert Henri, Painter",John Sloan,(American),(Male),Etching,"plate: 14 1/16 x 10 7/8"" (35.7 x 27.7 cm); sheet: 19 7/8 x 15 1/16"" (50.5 x 38.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,35.7,27.7
Nude with Halo,John Sloan,(American),(Male),Etching and engraving,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Nude with Bowl of Fruit,John Sloan,(American),(Male),Etching,"plate: 5 1/8 x 10 11/16"" (13 x 27.1 cm); sheet: 8 13/16 x 14 1/16"" (22.4 x 35.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,13,27.1
Nude on the Floor,John Sloan,(American),(Male),Etching and engraving,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Nude with Furniture,John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Nude Resting on Elbow,John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Nude and Etching Press,John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Nude in Shadow,John Sloan,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Bathers,Abraham Walkowitz,(American),(Male),Etching,"Plate 5 15/16 x 4"" (15.0 x 10.1 cm) Sheet 11 1/2 x 9"" (29.1 x 22.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,15,10.1
Market Place,Abraham Walkowitz,(American),(Male),Etching,"Plate 4 15/16 x 6 15/16 "" (12.6 x 17.6 cm) Sheet 9 1/2 x 11 5/8"" (23.6 x 29.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,12.6,17.6
Marketing,Abraham Walkowitz,(American),(Male),Etching,"Plate 3 15/16 x 5 15/16"" (10.0 x 15.1 cm) Sheet 9 x 11 3/8"" (22.7 x 29.0 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10,15.1
The Old Monarch,Abraham Walkowitz,(American),(Male),Etching,"Plate 5 7/8 x 6 7/8"" (14.9 x 17.4 cm) Sheet 9 3/16 x 11 1/2"" (23.4 x 29.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,14.9,17.4
The Park,Abraham Walkowitz,(American),(Male),Etching,"Plate 5 x 6 15/16"" (12.6 x 17.6 cm) Sheet 7 1/8 x 10"" (20.0 x 25.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,12.6,17.6
Women Bathing,Abraham Walkowitz,(American),(Male),Etching,"Plate 4 x 6 15/16"" (10.0 x 17.6 cm) Sheet 9 1/8 x 11 1/2"" (23.0 x 29.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10,17.6
"The Park, No. 2",Abraham Walkowitz,(American),(Male),Etching,"Plate 4 x 6 3/16"" (10.1 x 15.7 cm) Sheet 9 x 11 3/8"" (23.0 x 29.0 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10.1,15.7
Resting,Abraham Walkowitz,(American),(Male),Etching,"Plate 4 x 6 15/16"" (10.1 x 17.6 cm) Sheet 8 7/8 x 11 3/8"" (22.6 x 29.0 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10.1,17.6
The Pool,Abraham Walkowitz,(American),(Male),Etching,"Plate 4 x 5"" (10.1 x 12.6 cm) Sheet 9 1/4 x 11 3/8"" (23.5 x 29.0 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10.1,12.6
Central Park,Abraham Walkowitz,(American),(Male),Etching,"Plate 3 15/16 x 5 15/16"" (10.0 x 15.1 cm) Sheet 11 3/4 x 14 7/8"" (30.9 x 37.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10,15.1
Market Women,Abraham Walkowitz,(American),(Male),Etching,"Plate 4 x 5 15/16"" (10.1 x 15.1 cm) Sheet 8 7/8 x 11 7/16"" (22.5 x 29.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10.1,15.1
Hull,Abraham Walkowitz,(American),(Male),Etching,"Plate 5 x 6 15/16"" (12.7 x 17.6 cm) Sheet 9 x 11 5/8"" (22.9 x 29.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,12.7,17.6
Picnic,Abraham Walkowitz,(American),(Male),Etching,"Plate 5 x 6 15/16"" (12.6 x 17.6 cm) Sheet 9 x 11 1/2"" (22.9 x 29.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,12.6,17.6
The Park on Sunday,Abraham Walkowitz,(American),(Male),Etching,"Plate 4 x 6 15/16"" (10.1 x 17.6 cm) Sheet 8 7/8 x 11 1/2"" (22.6 x 29.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10.1,17.6
Outdoor Meal,Abraham Walkowitz,(American),(Male),Etching,"Plate 4 x 5"" (10.1 x 12.5 cm) Sheet 9 1/4 x 11 1/2"" (23.5 x 59.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10.1,12.5
Adobe,Abraham Walkowitz,(American),(Male),Etching,"Plate 4 x 5"" (10.1 x 17.6 cm)  Sheet 9 1/4 x 11 3/8"" (23.5 x 28.0 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10.1,17.6
The Dock,Abraham Walkowitz,(American),(Male),Etching,"Plate 4 x 5 15/16"" (10.1 x 15.1 cm) Sheet 8 1/4 x 11 3/8"" (21.0 x 28.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10.1,15.1
Boat,Abraham Walkowitz,(American),(Male),Etching,"Plate 4 x 6 15/16"" (10.1 x 17.6 cm) Sheet 8 7/8 x 11 3/8"" (22.6 x 29.0 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10.1,17.6
Boats,Abraham Walkowitz,(American),(Male),Etching,"Plate 4 15/16 x 6 15/16"" (12.6 x 17.6 cm) Sheet 9 x 11 3/8"" (22.9 x 29.0 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,12.6,17.6
Beside the Lake,Abraham Walkowitz,(American),(Male),Drypoint,"Comp. 4 x 6 15/16"" (10.1 x 17.6 cm) Sheet 9 x 11 1/2"" (22.8 x 29.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10.1,17.6
Gloucester,Abraham Walkowitz,(American),(Male),Etching,"Plate 4 x 5 15/16"" (10.1 x 15.1 cm) Sheet 8 7/8 x 11 3/8"" (23.7 x 29.0 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10.1,15.1
"Bathers, No. 1",Abraham Walkowitz,(American),(Male),Monotype,"Plate 8 15/16 x 11 7/8"" (22.7 x 30.1 cm)  Sheet 10 1/4 x 13 3/8"" (26.1 x 33.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,22.7,30.1
"Marken Island, Monnikendam, Holland",Abraham Walkowitz,(American),(Male),Monotype,"Plate 5 7/8 x 9"" (15.0 x 22.8 cm)  Sheet 6 7/8 x 10 1/8"" (17.6 x 25.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,15,22.8
Bathers,Abraham Walkowitz,(American),(Male),Lithograph,"Comp. 12 1/2 x 13 3/4"" (31.7 x 35.0 cm) Sheet 15 1/8 x 19"" (38.0 x 48.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,31.7,35
Bathers,Abraham Walkowitz,(American),(Male),Lithograph,"Comp. 9 3/4 x 16 1/8"" (24.0 x 40.9 cm) Sheet 13 1/4 x 18 1/4"" (33.6 x 46.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,24,40.9
Bathers No. 2,Abraham Walkowitz,(American),(Male),"Lithograph, colored by hand with watercolor","Comp. 9 5/8 x 15 13/16"" (24.3 x 40.2 cm) Sheet 14 x 17 1/8"" (35.7 x 43.0 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,24.3,40.2
"Fisherman's House, No. 2, Rockport, Mass.",Abraham Walkowitz,(American),(Male),Lithograph,"Comp. 9 x 15 1/8"" (22.8 x 38.3 cm) Sheet 13 5/8 x 18 5/8"" (34.6 x 47.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,22.8,38.3
Dance Fantasy,James L. Wells,(American),(Male),Linoleum cut,"composition: 12 5/8 x 9 5/8"" (32 x 24.5 cm); sheet: 15 15/16 x 9 3/4"" (40.5 x 24.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76779,32,24.5
Grain Elevators,James L. Wells,(American),(Male),Linoleum cut,"composition: 14 3/16 x 8 15/16"" (36 x 22.7 cm); sheet: 15 15/16 x 12 1/16"" (40.5 x 30.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76781,36,22.7
"Steel Mill, I",James L. Wells,(American),(Male),Linoleum cut,"composition: 8 11/16 x 10 1/2"" (22.1 x 26.7 cm); sheet (irreg.): 13 3/4 x 15 1/8"" (35 x 38.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76784,22.1,26.7
"Lindbergh, Portrait",Levon West,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Plane Over Sea,Levon West,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Plane in Sight of Land,Levon West,(American),(Male),Etching,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Riverside Drive,Mildred E. Williams,(Nationality Unknown),(Female),Lithograph,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Sea Pasture,Charles Herbert Woodbury,(American),(Male),Etching and drypoint,"Plate 8 7/8 x 10 15/16"" (22.6 x 27.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,22.6,27.7
Happy New Year Card (Two Trees),Max Weber,(American),(Male),Transfer lithograph with watercolor additions,"composition: 4 9/16 x 5 5/16"" (11.6 x 13.5 cm); sheet (folded): 5 9/16 x 7 5/8"" (14.2 x 19.3 cm); sheet (unfolded): 5 9/16 x 15 1/4"" (14.2 x 38.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76816,11.6,13.5
Beautification,Max Weber,(American),(Male),Lithograph,"composition (irreg.): 15 9/16 x 18 1/8"" (39.5 x 46cm); sheet: 20 x 23 1/16"" (50.8 x 58.6cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,39.5,46
Brooklyn Bridge,Max Weber,(American),(Male),Lithograph,"composition: 6 5/8 x 8 9/16"" (16.9 x 21.8 cm); sheet (irreg.): 8 11/16 x 10 13/16"" (22 x 27.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76822,16.9,21.8
Fordham Hills,Max Weber,(American),(Male),Lithograph,"composition: 5 7/8 x 9 5/8"" (14.9 x 24.4 cm); sheet: 9 1/16 x 12 1/8"" (23 x 30.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76825,14.9,24.4
New York,Max Weber,(American),(Male),Lithograph,"composition: 9 5/16 x 7"" (23.6 x 17.8 cm); sheet: 11 1/16 x 10 3/4"" (28.1 x 27.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76828,23.6,17.8
Shore Road,Max Weber,(American),(Male),Lithograph,"composition: 7 5/16 x 10 3/16"" (18.5 x 25.8 cm); sheet: 10 7/16 x 13"" (26.5 x 33 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76831,18.5,25.8
Spuyten Duyvil,Max Weber,(American),(Male),Lithograph,"Comp. 4 9/16 x 7 3/4"" (11.6 x 19.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,11.6,19.6
Two Garages,Max Weber,(American),(Male),Lithograph,"composition: 7 1/16 x 10 1/16"" (18 x 25.6cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76837,18,25.6
Rabbi Reading,Max Weber,(American),(Male),Woodcut,"composition (irreg.): 4 3/16 x 1 15/16"" (10.7 x 4.9 cm); sheet: 11 1/16 x 8"" (28.1 x 20.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76843,10.7,4.9
Prayer,Max Weber,(American),(Male),Linoleum cut,"composition: 9 1/16 x 2 3/4"" (23 x 7cm); sheet: 9 3/8 x 6 5/8"" (23.8 x 16.8cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76846,23,7
Portrait,Max Weber,(American),(Male),Woodcut,"composition (irreg.): 4 3/16 x 1 7/8"" (10.7 x 4.8 cm); sheet (irreg.): 11 1/16 x 8 1/16"" (28.1 x 20.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76849,10.7,4.8
Head and Shoulders of Figure,Max Weber,(American),(Male),Woodcut,"composition: 4 3/16 x 1 15/16"" (10.7 x 4.9 cm); sheet: 11 1/16 x 8"" (28.1 x 20.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76852,10.7,4.9
Mother Love (Madonna and Child),Max Weber,(American),(Male),Woodcut,"sheet: 10 15/16 x 8 1/4"" (27.8 x 20.9cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76855,27.8,20.9
Large Primitive Head in Profile,Max Weber,(American),(Male),Linoleum cut,"composition (irreg.): 7 11/16 x 3 7/16"" (19.5 x 8.7 cm); sheet: 9 7/16 x 6 3/4"" (23.9 x 17.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76858,19.5,8.7
Seated Figure,Max Weber,(American),(Male),Woodcut,"composition: 4 3/16 x 1 7/8"" (10.6 x 4.7 cm); sheet: 9 3/8 x 6 13/16"" (23.8 x 17.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76861,10.6,4.7
Large Primitive Head in Profile,Max Weber,(American),(Male),Linoleum cut,"composition (irreg.): 7 11/16 x 3 7/16"" (19.5 x 8.8 cm); sheet (irreg.): 11 5/8 x 7 3/16"" (29.5 x 18.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76864,19.5,8.8
Woman Seated at Table,Max Weber,(American),(Male),Woodcut,"composition (irreg.): 4 1/4 x 1 15/16"" (10.8 x 4.9 cm); sheet (irreg.): 9 7/16 x 6 15/16"" (24 x 17.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76867,10.8,4.9
Figure Composition,Max Weber,(American),(Male),Woodcut,"composition: 4 1/8 x 1 15/16"" (10.5 x 5 cm); sheet: 9 7/16 x 6 1/4"" (23.9 x 15.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76869,10.5,5
Head,Max Weber,(American),(Male),Woodcut,"composition: 4 3/16 x 1 15/16"" (10.7 x 5 cm); sheet: 9 3/8 x 6 5/8"" (23.8 x 16.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76872,10.7,5
Seated Figure,Max Weber,(American),(Male),Woodcut,"composition: 4 3/16 x 1 15/16"" (10.7 x 4.9 cm); sheet: 9 7/16 x 6 1/4"" (23.9 x 15.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76875,10.7,4.9
Head,Max Weber,(American),(Male),Woodcut,"composition: 4 1/4 x 1 15/16"" (10.8 x 4.9 cm); sheet: 10 1/4 x 8 1/4"" (26 x 21 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76878,10.8,4.9
Feast of Passover,Max Weber,(American),(Male),Linoleum cut,"composition: 7 3/4 x 6"" (19.7 x 15.2 cm); sheet: 6 3/4 x 9 1/8"" (17.2 x 23.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76881,19.7,15.2
Mother and Child,Max Weber,(American),(Male),Woodcut,"composition: 4 3/16 x 1 7/8"" (10.7 x 4.8 cm); sheet: 9 7/16 x 6 13/16"" (24 x 17.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76883,10.7,4.8
Mother Love (Madonna and Child),Max Weber,(American),(Male),Woodcut,"composition: 4 13/16 x 2 1/8"" (12.3 x 5.4cm); sheet: 11 x 8 1/8"" (28 x 20.6cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76885,12.3,5.4
Dancing Figure,Max Weber,(American),(Male),Woodcut,"composition: 4 1/4 x 1 15/16"" (10.8 x 4.9 cm); sheet: 9 5/16 x 6 7/16"" (23.7 x 16.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76887,10.8,4.9
Crouching Nude,Max Weber,(American),(Male),Woodcut,"composition: 4 1/8 x 1 7/8"" (10.5 x 4.8 cm); sheet: 9 5/16 x 6 1/2"" (23.7 x 16.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76889,10.5,4.8
Figure,Max Weber,(American),(Male),Woodcut,"composition: 4 3/16 x 1 15/16"" (10.6 x 4.9 cm); sheet: 9 1/2 x 6 1/4"" (24.1 x 15.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76902,10.6,4.9
"Head and Bust of a Woman, Three-Quarters to Left",Max Weber,(American),(Male),Woodcut or linoleum cut,"composition: 2 5/8 x 1 1/16"" (6.7 x 2.7 cm); sheet: 9 5/16 x 6 1/2"" (23.7 x 16.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,6.7,2.7
Reclining Nude,Max Weber,(American),(Male),Woodcut,"composition: 1 7/8 x 4 1/8"" (4.8 x 10.4 cm); sheet: 8 x 10"" (20.3 x 25.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76916,4.8,10.4
Primitive Man,Max Weber,(American),(Male),Woodcut,"composition: 9 15/16 x 3 1/8"" (25.3 x 7.9 cm); sheet: 12 1/2 x 8 7/16"" (31.8 x 21.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76918,25.3,7.9
"Still Life, Two Vases",Max Weber,(American),(Male),Woodcut,"composition: 1 3/4 x 1 9/16"" (4.4 x 3.9 cm); sheet: 9 7/16 x 6 1/4"" (24 x 15.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76921,4.4,3.9
Nude Woman with Arm Upraised,Max Weber,(American),(Male),Linoleum cut,"composition: 6 x 2 3/4"" (15.3 x 7 cm); sheet: 9 5/16 x 6 9/16"" (23.7 x 16.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,15.3,7
Seated Woman,Max Weber,(American),(Male),Woodcut,"composition: 2 x 1 3/4"" (5.1 x 4.5 cm); sheet: 9 7/16 x 6 1/8"" (24 x 15.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76927,5.1,4.5
Crouching Nude Figure,Max Weber,(American),(Male),Linoleum cut,"composition (irreg.): 5 1/2 x 3 1/16"" (13.9 x 7.7 cm); sheet: 9 3/8 x 6 9/16"" (23.8 x 16.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76930,13.9,7.7
Head,Max Weber,(American),(Male),Linoleum cut,"composition (irreg.): 3 15/16 x 2 3/4"" (10 x 7 cm); sheet: 9 1/2 x 6 1/4"" (24.2 x 15.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10,7
Seated Woman,Max Weber,(American),(Male),Woodcut,"composition (irreg.): 4 1/4 x 1 15/16"" (10.8 x 5 cm); sheet: 9 7/16 x 6 13/16"" (24 x 17.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76936,10.8,5
Nude with Upraised Arm,Max Weber,(American),(Male),Woodcut,"composition (irreg.): 4 1/4 x 1 15/16"" (10.8 x 4.9 cm); sheet (irreg.): 11 1/16 x 8 5/16"" (28.1 x 21.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76939,10.8,4.9
Standing Nude,Max Weber,(American),(Male),Woodcut,"composition (irreg.): 3 1/4 x 1 5/8"" (8.3 x 4.1 cm); sheet (irreg.): 9 7/16 x 6 15/16"" (24 x 17.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76942,8.3,4.1
Cubist Head,Max Weber,(American),(Male),Woodcut,"composition (irreg.): 4 3/16 x 1 7/8"" (10.6 x 4.7 cm); sheet (irreg.): 9 9/16 x 6 3/8"" (24.3 x 16.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76945,10.6,4.7
Head of a Man,Max Weber,(American),(Male),Woodcut,"composition (irreg.): 4 3/16 x 2"" (10.6 x 5.1 cm); sheet (irreg.): 9 7/16 x 6 1/8"" (24 x 15.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76947,10.6,5.1
Still Life,Max Weber,(American),(Male),Lithograph,"Sheet 15 9/16 x 21"" (39.4 x 53.3 cm) Comp. 12 5/16 x 16"" (31.3 x 41.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,31.3,41.1
Reverie,Max Weber,(American),(Male),Lithograph,"composition: 15 13/16 x 10 13/16"" (40.2 x 27.5 cm); sheet: 19 11/16 x 15 3/16"" (50 x 38.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/76952,40.2,27.5
Sculptor's Model,Max Weber,(American),(Male),Transfer lithograph,"composition: 7 7/8 x 4 5/8"" (20 x 11.7 cm); sheet: 10 x 6 11/16"" (25.4 x 17 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,20,11.7
Leaning Figure,Max Weber,(American),(Male),Lithograph,"composition: 7 1/8 x 2 1/2"" (18.1 x 6.3 cm); sheet: 10 x 6 9/16"" (25.4 x 16.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,18.1,6.3
"Roslyn, Long Island",Max Weber,(American),(Male),Lithograph,"composition: 11 1/2 x 15 11/16"" (29.2 x 39.9 cm); sheet: 13 13/16 x 19"" (35.1 x 48.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,29.2,39.9
Barrí_e Wind Orchestra,Max Weber,(American),(Male),Lithograph,"composition: 7 3/16 x 9 1/2"" (18.3 x 24.1 cm); sheet: 8 3/4 x 11 15/16"" (22.3 x 30.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,18.3,24.1
Egyptian Bowl,Max Weber,(American),(Male),Lithograph,"composition: 7 13/16 x 12 13/16"" (19.8 x 32.5 cm); sheet: 9 7/16 x 14 15/16"" (24 x 38 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,19.8,32.5
Head,Max Weber,(American),(Male),Lithograph,"composition: 4 3/16 x 2 11/16"" (10.6 x 6.8 cm); sheet: 9 15/16 x 6 11/16"" (25.2 x 17 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,10.6,6.8
In the Hills,Max Weber,(American),(Male),Lithograph,"composition: 7 7/16 x 9 1/4"" (18.9 x 23.5 cm); sheet: 9 5/8 x 13"" (24.5 x 33 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,18.9,23.5
