Title,Artist,Nationality,Gender,Medium,Dimensions,CreditLine,Classification,DateAcquired,URL,Height (cm),Width (cm)
2 H.P. plate from the illustrated book Baroque,Jean Lurí_at,(French),(Male),Drypoint and pochoir,"plate: 10 9/16 x 8 1/8"" (26.8 x 20.7 cm); sheet: 19 5/16 x 12 15/16"" (49 x 32.8 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16679,26.8,20.7
Baroques,Jean Lurí_at,(French),(Male),"4 drypoint and pochoirs, printed in color","Prints:  various dimensions.  Page (text irreg.):  15 1/8 x 10 7/8"" (38.5 x  27.6 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,,38.5,27.6
"The Skeptic, plate from the illustrated book Baroques",Jean Lurí_at,(French),(Male),Drypoint and pochoir,"plate: 8 1/8 x 10 9/16"" (20.7 x 26.8 cm); sheet: 12 13/16 x 19 13/16"" (32.6 x 50.3 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16681,20.7,26.8
"The Quest for the Absolute , plate from the illustrated book Baroques",Jean Lurí_at,(French),(Male),Drypoint and pochoir,"plate: 10 9/16 x 8 1/8"" (26.8 x 20.7 cm); sheet: 19 7/8 x 13"" (50.5 x 33 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16682,26.8,20.7
"The Distracted One, plate from the illustrated book Baroques",Jean Lurí_at,(French),(Male),Drypoint and pochoir,"composition (irreg.): 10 1/2 x 8 5/16"" (26.7 x 21.1 cm); sheet: 19 3/16 x 12 15/16"" (48.7 x 32.8 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16683,26.7,21.1
Title page from Toupies,Jean Lurí_at,(French),(Male),Pochoir and lithograph,"irreg. composition  2 3/4 x 2 3/8"" (7 x 6 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,,7,6
Toupies,Jean Lurí_at,(French),(Male),"Illustrated book with fourteen pochoirs (including title page), with etching, aquatint, drypoint, roulette, and/or lithograph","page  14 13/16 x 10 15/16"" (37 x 27.9 cm)
Prints:  various dimensions.",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,,37,27.9
"Harlequin Hamlet , plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),Etching and pochoir,"plate: 9 13/16 x 6 7/16"" (24.9 x 16.3 cm); sheet: 14 3/4 x 11"" (37.4 x 28 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16688,24.9,16.3
"Harlequin Diplomat , plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),"Etching, aquatint, and pochoir","plate: 10 9/16 x 7 1/16"" (26.8 x 18 cm); sheet: 14 15/16 x 11"" (37.9 x 28 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16689,26.8,18
"Harlequin Knight of Malta , plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),Etching with roulette and pochoir,"plate: 7 1/16 x 10 3/16"" (17.9 x 25.9 cm); sheet: 10 13/16 x 15 1/16"" (27.5 x 38.2 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16690,17.9,25.9
"Homosexual Harlequin , plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),Etching and pochoir,"plate: 10 5/8 x 7 1/16"" (27 x 18 cm); sheet: 14 3/4 x 11"" (37.5 x 28 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16691,27,18
"Dancing Harlequin, plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),"Etching, aquatint, and pochoir","plate: 10 3/16 x 7 1/16"" (25.9 x 17.9 cm); sheet: 14 9/16 x 10 15/16"" (37 x 27.8 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16692,25.9,17.9
Plate (folio 6) from the illustrated book Toupies,Jean Lurí_at,(French),(Male),Drypoint and pochoir,"plate: 9 13/16 x 6 13/16"" (25 x 17.3 cm); sheet: 14 13/16 x 11"" (37.6 x 28 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16693,25,17.3
"Harlequin General , plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),"Etching, aquatint, and pochoir","plate: 10 5/8 x 7"" (27 x 17.8 cm); sheet: 14 3/4 x 10 15/16"" (37.5 x 27.8 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16694,27,17.8
"Harlequin Mime , plate (folio 8) from the illustrated book Toupies",Jean Lurí_at,(French),(Male),Etching and pochoir,"plate: 10 9/16 x 7 1/16"" (26.8 x 17.9 cm); sheet: 14 3/4 x 10 15/16"" (37.5 x 27.8 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16695,26.8,17.9
"Jesuit Harlequin , plate (folio 9) from the illustrated book Toupies",Jean Lurí_at,(French),(Male),Etching and pochoir,"plate: 10 5/8 x 7 1/16"" (27 x 17.9 cm); sheet: 14 3/4 x 10 15/16"" (37.5 x 27.8 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16696,27,17.9
"Harlequin's Lust , plate (folio 10) from the illustrated book Toupies",Jean Lurí_at,(French),(Male),"Etching, aquatint, and pochoir","plate: 10 5/8 x 6 15/16"" (27 x 17.7 cm); sheet: 14 7/8 x 10 15/16"" (37.8 x 27.8 cm)",Gift of Abby Aldrich Rockefeller,Illustrated Book,4/5/40,http://www.moma.org/collection/works/16697,27,17.7
