Title,Artist,ConstituentID,ArtistBio,Nationality,Gender,Medium,Dimensions,CreditLine,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Height (cm),Width (cm)
"Dymaxion House, project (Plan, deck-tensioning pattern)",R. Buckminster Fuller,2030,"(American, 1895‰Û_983)",(American),(Male),Pencil and ink on paper with tape,"10 x 13 1/2"" (25.4 x 34.3)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,806,http://www.moma.org/collection/works/806,http://www.moma.org/media/W1siZiIsIjIxMTk5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5e1f5ee1b5db0118,25.4001,34.2901
"Proposed Dymaxion Hanging Restaurant for Romany Marie, project, Sketch",R. Buckminster Fuller,2030,"(American, 1895‰Û_983)",(American),(Male),Graphite and ink on tracing paper,"16 5/8 x 13 7/8"" (42.2 x 35.2 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,807,http://www.moma.org/collection/works/807,http://www.moma.org/media/W1siZiIsIjExNTI4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=7d7e75b2407d0907,,
"Dymaxion House, project (Perspective)",R. Buckminster Fuller,2030,"(American, 1895‰Û_983)",(American),(Male),Crayon on paper,"16 x 11 3/4"" (40.6 x 29.8 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,808,http://www.moma.org/collection/works/808,http://www.moma.org/media/W1siZiIsIjExNTMwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=4a01b650e5d4c3e8,40.6401,29.8451
"A Dymaxion Home, project, Elevation, axonometric, and plan",R. Buckminster Fuller,2030,"(American, 1895‰Û_983)",(American),(Male),Graphite and watercolor on Photostat,"22 1/2 x 12 1/4"" (57.2 x 31.1 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,809,http://www.moma.org/collection/works/809,http://www.moma.org/media/W1siZiIsIjQ0NDQ4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=871688704e3fb2ef,57.1501,31.1151
"Wall House 2 (A. E. Bye House) Project , Ridgefield, Connecticut, Isometric",John Hejduk,2581,"(American, 1929‰Û_000)",(American),(Male),Crayon on sepia diazotype,"28 x 40 1/8"" (71.1 x 101.9 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,810,http://www.moma.org/collection/works/810,http://www.moma.org/media/W1siZiIsIjExNTM4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=6760571508f743a6,72.4,103.2
"Wall House 2 (A. E. Bye House) Project , Ridgefield, Connecticut, Isometric",John Hejduk,2581,"(American, 1929‰Û_000)",(American),(Male),Crayon on sepia diazotype,"28 x 40 1/8"" (71.1 x 101.9 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,811,http://www.moma.org/collection/works/811,http://www.moma.org/media/W1siZiIsIjExNTQyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=bacfcd585f5e7ea5,72.4,103.2
"Wall House 2 (A. E. Bye House) Project, Ridgefield, Connecticut, Combined elevation and plan",John Hejduk,2581,"(American, 1929‰Û_000)",(American),(Male),Color pencil and graphite on tracing paper on board,"8 x 8 1/8"" (20.3  x 20.6 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,812,http://www.moma.org/collection/works/812,http://www.moma.org/media/W1siZiIsIjExNTQ0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=a89512fc3c3e886f,33,32.7
"Cities: Moving, Master Vehicle-Habitation Project, Aerial Perspective",Ron Herron,8113,"(British, 1930‰Û_994)",(British),(Male),Ink and graphite on tracing paper,"21 3/4 x 32 3/4"" (55.2 x 83.2 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,813,http://www.moma.org/collection/works/813,http://www.moma.org/media/W1siZiIsIjExNTQ3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=56ac29e08a1a7f37,55.2,83.2
"Walking City on the Ocean, project (Exterior perspective)",Ron Herron,8113,"(British, 1930‰Û_994)",(British),(Male),Cut-and-pasted printed and photographic papers and graphite covered with polymer sheet,"11 1/2 x 17"" (29.2 x 43.2 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,814,http://www.moma.org/collection/works/814,http://www.moma.org/media/W1siZiIsIjExNTUwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=d7c5cf0722f7e548,29.2,43.2
,,,,,,,,,,,,,,,,,
"Joint Core System, project, Shinjuku, Tokyo, Japan, Elevation",Arata Isozaki,2837,"(Japanese, born 1931)",(Japanese),(Male),Ink and color pencil on paper,"20 7/8 x 33 3/4"" (53 x 85.7 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,815,http://www.moma.org/collection/works/815,http://www.moma.org/media/W1siZiIsIjU2NTc1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=fd18c19221942105,65.1,101.6
"Re-ruined Hiroshima, project, Hiroshima, Japan (Perspective)",Arata Isozaki,2837,"(Japanese, born 1931)",(Japanese),(Male),Ink and gouache with cut-and-pasted gelatin silver print on gelatin silver print,"13 7/8 x 36 7/8"" (35.2 x 93.7 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,816,http://www.moma.org/collection/works/816,http://www.moma.org/media/W1siZiIsIjIzMjMyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6925d6857fd9282c,43.8,101.6
"Roosevelt Island Redevelopment Project, New York, New York (Axonometric)","Rem Koolhaas, Elia Zenghelis","6956, 7558","(Dutch, born 1944) (British, born Greece 1937)",(Dutch) (British),(Male) (Male),Gouache and graphite on board,"29 x 38 5/8"" (73.7 x 98.1 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,818,http://www.moma.org/collection/works/818,http://www.moma.org/media/W1siZiIsIjExNTU4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=091f5a0c1b55447f,83.8,108.6
"New Welfare Island Project, Roosevelt Island, New York, NY (Aerial perspective)","Rem Koolhaas, Zoe Zenghelis","6956, 7559","(Dutch, born 1944) (British, born Greece 1937)",(Dutch) (British),(Male) (Female),Gouache on paper,"58 x 40"" (147.3 x 101.6 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,819,http://www.moma.org/collection/works/819,http://www.moma.org/media/W1siZiIsIjIxMTk5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bd025211324286ba,160,114.9
"Welfare Palace Hotel Project, Roosevelt Island, New York, New York (Cutaway axonometric)","Rem Koolhaas, Madelon Vriesendorp","6956, 6957","(Dutch, born 1944) (Dutch, born 1945)",(Dutch) (Dutch),(Male) (Female),Gouache on paper,"51 x 40 1/2"" (129.5 x 102.9 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,820,http://www.moma.org/collection/works/820,http://www.moma.org/media/W1siZiIsIjExNTYzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=e5ccd4f8dc5407ee,137.2,110.8
