"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy","Partner Economy Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2012","","","","4131.759"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2011","","","","5472"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2010","","","","4831"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2009","","","","3108"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2008","","","","5331"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2005","","","","2565"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2006","","","","2214"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2007","","","","4397"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2005","","","","259"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2006","","","","294"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2007","","","","290"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2013","","","","284"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2012","","","","253.925"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2011","","","","301"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2010","","","","277"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2009","","","","241"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2014","","","","287.952"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2015","","","","302.791"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2017","","","","271.24"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2016","","","","221.979"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2008","","","","295"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2007","","","","480"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2006","","","","969"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2005","","","","328"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2009","","","","316"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2008","","","","728"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2014","","","","138.654"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2013","","","","787"
